Resort ID,Resort Name
RES493,glacier-3000-les-diablerets
RES494,wasserngrat-gstaad
RES495,tschiertschen
RES496,nara-leontica
RES497,mythenregion
RES498,la-berra-la-roche
RES499,cari
RES500,braunwald
RES501,bosco-gurin-grossalp
RES502,san-bernardino
RES503,pesciuem-airolo
RES504,nax-mont-noble
RES505,la-braye-chateau-doex
RES506,klewenalpstockhuette-beckenriedemmetten
RES507,kaisereggriggisalp-schwarzsee
RES508,jaun
RES509,evolene
RES510,brambrueeschdreibuendenstein-chur
RES511,wispile-gstaad
RES512,oeschinensee-kandersteg
RES513,moleson
RES514,marbach-marbachegg
RES515,giw-visperterminen
RES516,elsigen-metsch-frutigen
RES517,darlux-berguen
RES518,arolla
RES519,wiriehorn
RES520,unterbaech-brandalpginals
RES521,tschentenalp-adelboden
RES522,sattel-hochstuckli
RES523,sarn-heinzenberg
RES524,les-mossesla-lecherette
RES525,la-robella-buttes-val-de-travers
RES526,la-fouly
RES527,hochwang-goldgruben
RES528,champex-lac-orsieres
RES529,bugnenets-savagnieres-saint-imier
RES530,bivio
RES531,. Aela – Maloja
RES532,. Pontresina
RES533,aeschiried
RES534,alpe-di-neggia
RES535,alpsteinblick-gonten
RES536,amden
RES537,ardez
RES538,asp-densbueren
RES539,atzmaennig-goldingen
RES540,avers
RES541,axalp-ob-brienz
RES542,baeretswil
RES543,balmberg
RES544,bannalp-oberrickenbach
RES545,basse-ruche
RES546,bedea-novaggio
RES547,bennau-einsiedeln
RES548,bernina-heliski
RES549,biel-kinzig-buerglen
RES550,bildhaus-gommiswald-am-ricken
RES551,blatten-speicher
RES552,bottenwil-piz-graben
RES553,brot-plamboz
RES554,bruesti-attinghausen
RES555,brunni-engelberg
RES556,buegls-s-chanf
RES557,buendalift-davos
RES558,bumbach-schangnau
RES559,campo-blenio
RES560,cardadacimetta-orselina
RES561,casaccia
RES562,chapeau-rable-la-chaux-de-fonds
RES563,chuderhuesi-roethenbach
RES564,cioss-prato-bedretto
RES565,dalpe
RES566,degersheim-fuchsacker
RES567,dent-de-jaman-montreux
RES568,dent-de-vaulion-le-morez
RES569,dicki-weisslingen
RES570,dietikon
RES571,dreieck-glarus
RES572,ebenalp-horn-wasserauenschwende
RES573,egg-hallau
RES574,eggiwil-netschbuehl
RES575,eischoll
RES576,engi
RES577,engstligenalp-adelboden
RES578,eriz
RES579,espace-super-saint-bernard-bourg-st-pierre
RES580,faltschen-reichenbach
RES581,fanas
RES582,feldis
RES583,fideriser-heuberge-arflina
RES584,fischenthal-aurueti-oberegg
RES585,flensa-seewis
RES586,foehrlimatt-wegenstetten
RES587,friherrenberg-einsiedeln
RES588,gadmen
RES589,gaehwil
RES590,gais
RES591,gampluet
RES592,gantrisch-gurnigel
RES593,gfellen-entlebuch-finsterwald
RES594,ghoech
RES595,goldiwil-multenegg-heiligenschwendi
RES596,grand-val-oberdoerferberg
RES597,grenchenberg-grenchen
RES598,grimmialp
RES599,grub-kaien
RES600,gsahl-hauenstein-ifenthal
RES601,gspon-staldenried
RES602,guarda
RES603,gurnigelbad
RES604,gurten-bern
RES605,guttannen
RES606,habkern-sattelegg
RES607,haldigrat
RES608,hapfere-plaffeien
RES609,haut-de-caux
RES610,heidbodme-saas-almagell
RES611,heiden-bischofsberg
RES612,heiligkreuz-first-entlebuch
RES613,heimenschwand-buchholterberg
RES614,heiti-gsteig-bei-gstaad
RES615,hemberg
RES616,hoernli-hemberg-baechli
RES617,hohe-winde-beinwil
RES618,hohwald-beatenberg-waldegg
RES619,holderbank-skilift-engi
RES620,homberg
RES621,horben-lindenberg
RES622,hubelweid-heiligenschwendi
RES623,jaunpass-boltigen
RES624,jeizinen-feselalp-gampelsteg
RES625,kerenzerberg-filzbach
RES626,kiental
RES627,la-brevine
RES628,la-chia-bulle
RES629,la-corbatiere-la-roche-aux-crocs
RES630,la-cote-aux-fees
RES631,la-forclaz
RES632,la-golatte-smontoz-tavannes
RES633,la-lorette-bourg-saint-pierre
RES634,la-sagne
RES635,la-trelasse
RES636,la-vue-des-alpes-fontaines-les-gollieres
RES637,labbaye
RES638,langenbruck-untereobere-wanne
RES639,langmattli-hergiswil
RES640,lantschlenz
RES641,lauenen
RES642,le-brassus
RES643,le-cerneux-pequignot
RES644,le-chaluet-court
RES645,le-paquier-cret-du-puy
RES646,lent
RES647,les-breuleux
RES648,les-genevez
RES649,les-hauderes-lhomazo
RES650,les-orvales-malleray
RES651,les-paccotschatel-st-denis-corbetta
RES652,les-paccotsgranges-mont-chesau
RES653,les-pleiades
RES654,les-pres-dorvin
RES655,les-prevondes
RES656,les-rasses-sainte-croix
RES657,les-verrieres
RES658,linden-schindelberg
RES659,lommiswil-bitzirain
RES660,lorient
RES661,lucky-aeschi
RES662,lueina-airolo
RES663,mammern-klingenzell
RES664,minschuns-val-muestair-tschierv
RES665,moerlialp-giswil
RES666,mogno
RES667,mont-gibloux
RES668,muenster-geschinen
RES669,muesella-la-punt
RES670,mugi-netstal
RES671,mutten
RES672,naetschen-andermatt
RES673,neusell-rothenthurm-biberegg
RES674,niederhorn-beatenberg
RES675,nods
RES676,nollen-hosenruck-wuppenau
RES677,nollen-unteraegeri
RES678,norro-lift-adelboden
RES679,nunningen
RES680,oberegg-skilift-st-anton
RES681,oberhelfenschwil
RES682,oberholz-farner
RES683,oberiberg
RES684,oberwangen
RES685,orgevauxles-avants
RES686,ottenleue-sangernboden
RES687,pany-luzein
RES688,pian-cales-san-bernardino
RES689,pian-san-giacomo
RES690,pischa-davos-klosters
RES691,plagne
RES692,prato-leventina
RES693,randa
RES694,raten-oberaegeri
RES695,rathvel-chatel-st-denis
RES696,realp
RES697,reckingen-gluringen
RES698,regensberg-erlenhof-im-buck
RES699,rellerli-schoenried
RES700,renan
RES701,riffenmatt-winterpark
RES702,rigi
RES703,rigi-scheideggburggeist
RES704,rochers-de-naye-montreux
RES705,rossa
RES706,rossberg-oberwil
RES707,rosswald-brig
RES708,rotberg-villigen
RES709,rothwaldwasenalp-simplon-pass
RES710,rueegsau
RES711,rueschegg-eywald-lischboden
RES712,saalhoehe
RES713,saas-balen
RES714,saentis-schwaegalp
RES715,saint-george
