Resort ID,Resort Name,Continent,Country,State/Province,Country Code
216,gaberlplankogel-salla-maria-lankowitz,Europe,Austria,Styria (Steiermark),AT
217,gaisrueckleiten-wiesen,Europe,Austria,Burgenland,AT
218,gedersberg-seiersberg,Europe,Austria,Styria (Steiermark),AT
219,geigenbuehel,Europe,Austria,Tyrol (Tirol),AT
220,gerlossteinramsberg-hainzenberg,Europe,Austria,Tyrol (Tirol),AT
221,gfoellberglift-holzgau,Europe,Austria,Tyrol (Tirol),AT
222,glasenberg-maria-neustift,Europe,Austria,Upper Austria (Oberosterreich),AT
223,goellerlifts-gscheid-st-aegyd-am-neuwalde,Europe,Austria,Lower Austria (Niederosterreich),AT
224,gramais,Europe,Austria,Tyrol (Tirol),AT
225,graukogel-bad-gastein,Europe,Austria,Salzburg (Salzburger Land),AT
226,gries-laengenfeld,Europe,Austria,Tyrol (Tirol),AT
227,griminitzen-kirchbach,Europe,Austria,Carinthia (Karnten),AT
228,groellerkopf-uebersaxen,Europe,Austria,Vorarlberg,AT
229,gruenberg-obsteig,Europe,Austria,Tyrol (Tirol),AT
230,grunholzlift-au,Europe,Austria,Vorarlberg,AT
231,gut-enghagen-rossleithen,Europe,Austria,Upper Austria (Oberosterreich),AT
232,haeselgehr,Europe,Austria,Tyrol (Tirol),AT
233,hagenberglifte-sulzberg,Europe,Austria,Vorarlberg,AT
234,hahnbaum-st-johann-im-pongau,Europe,Austria,Salzburg (Salzburger Land),AT
235,hallstatt,Europe,Austria,Upper Austria (Oberosterreich),AT
236,hammerbodenlift-grossreifling-landl,Europe,Austria,Styria (Steiermark),AT
237,hansberg-st-johann-am-wimberg,Europe,Austria,Upper Austria (Oberosterreich),AT
238,hartmannsdorf,Europe,Austria,Styria (Steiermark),AT
239,hauereck-st-kathrein-am-hauenstein,Europe,Austria,Styria (Steiermark),AT
240,hausberglift-waidring,Europe,Austria,Tyrol (Tirol),AT
241,heidialm-skipark-falkert,Europe,Austria,Carinthia (Karnten),AT
242,heumoeser-ebnit-dornbirn,Europe,Austria,Vorarlberg,AT
243,hinterfeld-moesern-telfs,Europe,Austria,Tyrol (Tirol),AT
244,hinterreit-saalfelden-am-steinernen-meer,Europe,Austria,Salzburg (Salzburger Land),AT
245,hirnkopf-flattnitz-gloednitz,Europe,Austria,Carinthia (Karnten),AT
246,hittisberg-hittisau,Europe,Austria,Vorarlberg,AT
247,hochbaerneck-st-anton-an-der-jessnitz,Europe,Austria,Lower Austria (Niederosterreich),AT
248,hochhaederich-hittisau,Europe,Austria,Vorarlberg,AT
249,hochkeil-am-hochkoenig,Europe,Austria,Salzburg (Salzburger Land),AT
250,hochlecken-neukirchen-altmuenster,Europe,Austria,Upper Austria (Oberosterreich),AT
251,hochlitten-riefensberg,Europe,Austria,Vorarlberg,AT
252,hochmoos-leutasch,Europe,Austria,Tyrol (Tirol),AT
253,hochplett-oberaschau,Europe,Austria,Upper Austria (Oberosterreich),AT
254,hochrindl-sirnitz,Europe,Austria,Carinthia (Karnten),AT
255,hochwechsellifts-moenichwald,Europe,Austria,Styria (Steiermark),AT
256,hohentauern,Europe,Austria,Styria (Steiermark),AT
257,hohenzellerstrasse-ried-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich),AT
258,hoislifts-modriach-edelschrott,Europe,Austria,Styria (Steiermark),AT
259,holzmeisterlifts-sommeralm-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark),AT
260,hotz-oberweng-spital-am-pyhrn,Europe,Austria,Upper Austria (Oberosterreich),AT
261,hrastlift-feistritz-an-der-gail,Europe,Austria,Carinthia (Karnten),AT
262,huettegglift-weerberg,Europe,Austria,Tyrol (Tirol),AT
263,huetten-bizau,Europe,Austria,Vorarlberg,AT
264,jauerling-maria-laach-am-jauerling,Europe,Austria,Lower Austria (Niederosterreich),AT
265,johnsbach-admont,Europe,Austria,Styria (Steiermark),AT
266,josefsberg-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich),AT
267,kaiserau-admont,Europe,Austria,Styria (Steiermark),AT
