Resort ID,NameResort,Rate,Stars
1869,. Belchen,2.9,2.0
1870,. Schöneck (Skiwelt),2.9,2.0
1873,. Steckenberg – Unterammergau,2.8,2.0
1875,. Todtnauberg,2.7,2.0
1876,. Altastenberg,2.7,2.0
1877,. Unternberg (Ruhpolding),2.7,2.0
1878,. Silberberg – Bodenmais,2.7,1.0
1879,. Monte Kaolino – Hirschau (sand ski area),1.0,2.0
1880,. Hohe Bracht – Lennestadt,1.0,2.0
1881,. Hirtenteich – Essingen-Lauterburg/Aalen,1.0,2.0
1882,. Bläsiberg – Wiesensteig,1.0,2.0
1883,. Auf der Rieder – Eschenlohe,1.0,2.0
1884,. Hirschberglifte – Kreuth,1.0,2.0
1885,. Wurmberg – Braunlage,2.0,2.0
1886,. Hundseck – Bühlertallifte,1.0,1.0
1887,. Beuerberg,1.0,1.0
1888,. Markbuchen/Predigtstuhl (St. Englmar),1.0,1.0
1889,. Kapellenberg (St. Englmar),1.0,1.0
1890,. Grün-Maibrunn (St. Englmar),1.0,1.0
1891,. Sahnehang,1.0,1.0
1892,. Hunau – Bödefeld,1.0,1.0
1893,. Mehliskopf,1.0,1.0
1894,. Kaltenbronn,1.0,1.0
1895,. Fahlenscheid – Olpe,1.0,1.0
1896,. Wissen,1.0,1.0
1897,. Burbach,1.0,1.0
1898,. Altenseelbach,1.0,1.0
1899,. Stinesser Lifte – Fischen i. Allgäu,1.0,1.0
1900,. Hesselberg,1.0,1.0
1901,. Reiserhang – Gaißach,1.0,1.0
1902,. Bottrop (alpincenter) (indoor ski area),1.0,1.0
1903,. Johanngeorgenstadt – Külliggut,1.0,1.0
1904,. Klausenlift – Mehlmeisel,1.0,1.0
1905,. Hempelsberg/Geiersberg – Oberwarmensteinach,1.0,1.0
1906,. Fleckllift – Warmensteinach,1.0,1.0
1907,. Bleaml Alm – Neubau (Fichtelberg),1.0,1.0
1908,. Greising – Deggendorf,1.0,1.0
1909,. Pfulb – Schopfloch (Lenningen),1.0,1.0
1910,. Ostalb – Aalen,1.0,1.0
1911,. Im Salzwinkel – Zainingen (Römerstein),1.0,1.0
1912,. Halde – Westerheim,1.0,1.0
1913,. Donnstetten (Römerstein),1.0,1.0
1914,. Ohlstadt,1.0,1.0
1915,. Am Ried – Farchant,1.0,1.0
1916,. Kirburg,1.0,1.0
1917,. Bischofsreut,1.0,1.0
1918,. Kirchberglifte – Kreuth,1.0,1.0
1919,. Oedberg – Gmund-Ostin,1.0,1.0
1920,. Hanslmühle – Mauern,1.0,1.0
1921,. Hörnle – Bad Kohlgrub,2.0,1.0
1922,. Rabenkopf – Oberau,1.0,1.0
2555,. Jahorina,3.7,3.0
2556,. Babin Do – Bjelašnica,3.1,3.0
2571,. Špindlerův Mlýn,3.7,2.0
2572,. Keilberg (Klínovec),3.3,2.0
2573,. Lipno,3.2,1.0
2578,. Jáchymov Střed,1.0,2.0
2579,. Novako – Boží Dar,1.0,1.0
2872,. Vogel – Bohinj,3.6,3.0
2873,. Krvavec,3.5,3.0
2921, Kolašin 1450/Kolašin 1600,3.6,4.0
2925,. Szczyrk Mountain Resort,3.6,2.0
2926,. Białka Tatrzańska – Kotelnica/Kaniówka/Bania,3.3,1.0
2927,. Szymoszkowa,2.8,1.0
2928, Kasprowy Wierch – Zakopane,2.8,4.0
2932,. Hawrań – Jurgów,2.7,2.0
2933,. Nosal – Bystre,1.0,2.0
2934,. Harenda,1.0,2.0
2935,. Witów,1.0,1.0
2936,. Bialy Potok,1.0,1.0
3179, Rosa Khutor,3.6,4.0
3180,. Gazprom Mountain Resort,3.2,2.0
3184,. Malbun,3.5,3.0
3243,. SnowWorld Landgraaf (indoor ski area),3.2,1.0
3244,. SnowWorld Zoetermeer (indoor ski area),2.7,1.0
3245,. De Uithof (indoor ski area),1.0,1.0
3246,. Montana Snowcenter (indoor ski area),1.0,1.0
3285,. Bláfjöll,3.0,2.0
3393,. Alpine Snowsports – Aldershot (dry slopes),1.0,2.0
3394,. Chill Factore – Manchester (indoor ski area),1.0,1.0
3395,. Pendle Ski Club (dry slopes),1.0,1.0
3396,. Snozone – Milton Keynes (indoor ski area),1.0,1.0
3397,. The Snow Centre – Hemel Hempstead (indoor ski area),1.0,1.0
3487,. Snow Arena – Druskininkai (indoor ski area),2.7,1.0
3498,. Snow Valley – Peer (indoor ski area),1.0,1.0
3499,. Ice Mountain (indoor ski area),1.0,1.0
3510,. Hedelands Skicenter,1.0,1.0
