Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
130,gemeindealpe-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
131,gaissau-hintersee,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
132,buergeralpe-mariazell,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
133,arnoldstein-dreilaendereck,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
134,. Kelchsau,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
135,. Kellerjoch – Schwaz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
136,planneralm-donnersbach,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
137,oetscher-lackenhof-gaming,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
138,klippitztoerl,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
139,fendels,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
140,boedele-schwarzenberg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
141,. Burglift – Stans,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
142,. Heutal – Unken,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
143,. Tirolina (Haltjochlift) – Hinterthiersee,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
144,. Hohe Wand Wiese – Vienna (High Hills),Europe,Austria,Vienna (Wien),47.516231,14.550072,AT
145,. Trins,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
146,. Alfaierlift – Gschnitz,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
147,. Archenstadel – Rinn,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
148,. Kramsach,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
149,. Sternstein – Bad Leonfelden,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
150,. Schneeberglifte – Mitterland (Thiersee),Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
151,aichelberglifts-karlstift-bad-grosspertholz,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
152,alberschwende-brueggelekopfdresslerbergtannerberg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
153,almblicklifts-strallegg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
154,alpe-furx-furx-zwischenwasser,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
155,annaberg,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
156,annerlbauerlifte-krieglach,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
157,arabichl-kirchberg-am-wechsel,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
158,arnreit,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
159,arralifts-harmanschlag-st-martin,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
160,aschaulift-koppl,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
